processo,setor,ordem,data,resumo,desc_folha
000115/2022,DAE_SEI,17,19/02/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,18,19/02/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,19,09/03/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,20,15/04/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,21,17/06/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,22,17/06/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,23,17/06/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,24,06/07/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,25,14/07/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,26,02/08/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,27,03/09/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,28,03/09/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,29,13/09/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,30,18/10/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,31,01/11/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,32,17/12/2021,Evento do Processo Original,False
000115/2022,DAE_SEI,33,24/01/2022,Evento do Processo Original,False
000115/2022,DAE_SEI,34,24/01/2022,Evento do Processo Original,False
000115/2022,DAE_SEI,35,27/01/2022,Evento do Processo Original,False
000115/2022,DAE_SEI,36,08/02/2022,Evento do Processo Original,False
000115/2022,DAE_SEI,37,23/03/2022,Evento do Processo Original,False
000115/2022,DAE_SEI,38,23/03/2022,Evento do Processo Original,False
000115/2022,DAE_SEI,39,03/04/2022,Evento do Processo Original,False
000119/2022,DAE_SEI,2,28/07/2017,Evento do Processo Original,False
000119/2022,DAE_SEI,3,16/10/2019,Evento do Processo Original,False
000119/2022,DAE_SEI,4,28/02/2020,Evento do Processo Original,False
000119/2022,DAE_SEI,5,03/03/2020,Evento do Processo Original,False
000101/2022,CCD,63,15/09/2025,Certidão de Inscrição no Cadastro Informativo de Créditos não Quitados,False
000115/2022,CCD,56,15/09/2025,Certidão de Inscrição no Cadastro Informativo de Créditos não Quitados,False
000119/2022,CCD,50,15/09/2025,Certidão de Inscrição no Cadastro Informativo de Créditos não Quitados,False
000123/2022,CCD,48,15/09/2025,Certidão de Inscrição no Cadastro Informativo de Créditos não Quitados,False
000101/2022,CCD,64,15/09/2025,Determinação para Desconto em Folha...,True
000119/2022,CCD,51,15/09/2025,Determinação para Desconto em Folha...,True
000123/2022,CCD,49,15/09/2025,Determinação para Desconto em Folha...,True
000115/2022,CCD,57,16/09/2025,Determinação para Desconto em Folha...,True
005310/2017,DAE_EXP,64,27/10/2020,Intimação n 003816/2020 - DAE,False
005310/2017,DAE_EXP,65,17/11/2020,Espelho de comunicação processual....,False
005310/2017,DAE_EXP,66,17/11/2020,Certidão DAE,False
000130/2023,DAE_EXP,68,13/11/2024,"Notificação nº 001981/2024 - DAE - SECRETARIA DE ESTADO DA ADMINISTRAÇÃO E RECURSO HUMANOS, POR SEU ATUAL GESTOR",False
000130/2023,DAE_EXP,71,08/01/2025,Processo_apensamento_TCE,False
000130/2023,DAE_EXP,72,10/01/2025,Tramitacao_Processo_Administrativa,False
000130/2023,DAE_MANDA,66,30/10/2024,Certidão de Inscrição no Cadastro Informativo de Créditos não Quitados,False
000130/2023,DAE_MANDA,67,30/10/2024,Notificação de responsável por desconto de dívida em folha de pagamento..................................................................................,False
005310/2017,DAE_SEI,1,20/04/2017,Capa,False
005310/2017,DAE_SEI,2,11/04/2017,Evento do Processo Original,False
005310/2017,DAE_SEI,3,11/04/2017,Evento do Processo Original,False
005310/2017,DAE_SEI,4,20/04/2017,Certidão de Inscrição no Cadastro Informativo de Créditos não Quitados,False
005310/2017,DAE_SEI,6,20/04/2017,"Citado para, no prazo de 05 (cinco) dias, realizar o pagamento da dívida a que fora condenado, o Sr. _____________________ quedou-se inerte.
Assim sendo, de acordo com o inciso II, do art. 338, do Regimento Interno desta Corte de Contas, o titular do Órgão responsável pela elaboração da folha de pa",False
003686/2022,DAE_SEI,1,24/10/2022,Capa,False
003686/2022,DAE_SEI,2,22/01/2013,Evento do Processo Original,False
003686/2022,DAE_SEI,3,20/02/2013,Evento do Processo Original,False
003686/2022,DAE_SEI,4,21/02/2013,Evento do Processo Original,False
003686/2022,DAE_SEI,5,16/05/2013,Evento do Processo Original,False
003686/2022,DAE_SEI,6,20/06/2013,Evento do Processo Original,False
003686/2022,DAE_SEI,7,02/03/2015,Evento do Processo Original,False
003686/2022,DAE_SEI,8,07/07/2015,Evento do Processo Original,False
003686/2022,DAE_SEI,9,24/07/2015,Evento do Processo Original,False
003686/2022,DAE_SEI,10,04/09/2015,Evento do Processo Original,False
003686/2022,DAE_SEI,11,25/11/2015,Evento do Processo Original,False
003686/2022,DAE_SEI,12,27/11/2015,Evento do Processo Original,False
003686/2022,DAE_SEI,13,17/03/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,14,17/03/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,15,17/03/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,16,11/04/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,17,14/04/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,18,22/04/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,19,09/05/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,20,09/05/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,21,16/05/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,22,23/05/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,23,23/05/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,24,31/05/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,25,07/06/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,26,20/06/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,27,25/07/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,28,12/08/2016,Evento do Processo Original,False
003686/2022,DAE_SEI,29,24/04/2017,Evento do Processo Original,False
003686/2022,DAE_SEI,30,27/04/2017,Evento do Processo Original,False
003686/2022,DAE_SEI,31,30/06/2017,Evento do Processo Original,False
003686/2022,DAE_SEI,32,30/06/2017,Evento do Processo Original,False
003686/2022,DAE_SEI,33,30/06/2017,Evento do Processo Original,False
003686/2022,DAE_SEI,34,30/06/2017,Evento do Processo Original,False
003686/2022,DAE_SEI,35,30/06/2017,Evento do Processo Original,False
003686/2022,DAE_SEI,36,30/06/2017,Evento do Processo Original,False
003686/2022,DAE_SEI,37,05/07/2017,Evento do Processo Original,False
003686/2022,DAE_SEI,38,25/07/2017,Evento do Processo Original,False
003686/2022,DAE_SEI,39,15/10/2020,Evento do Processo Original,False
003686/2022,DAE_SEI,40,14/12/2020,Evento do Processo Original,False
003686/2022,DAE_SEI,41,15/12/2020,Evento do Processo Original,False
003686/2022,DAE_SEI,42,17/12/2020,Evento do Processo Original,False
003686/2022,DAE_SEI,43,28/12/2020,Evento do Processo Original,False
003686/2022,DAE_SEI,44,18/12/2020,Evento do Processo Original,False
003686/2022,DAE_SEI,45,30/03/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,46,31/03/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,47,07/04/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,48,27/04/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,49,07/05/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,50,16/05/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,51,17/05/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,52,17/05/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,53,31/05/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,54,18/06/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,55,06/07/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,56,06/07/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,57,07/07/2021,Evento do Processo Original,False
003686/2022,DAE_SEI,58,27/09/2021,Evento do Processo Original,False
